"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"clue","clue","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3-64",NA,"R (>= 3.2.0)","stats, cluster, graphics, methods",NA,"e1071, lpSolve (>= 5.5.7), quadprog (>= 1.4-8), relations","RWeka, ape, cba, cclust, flexclust, flexmix, kernlab, mclust,
movMF, modeltools","GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"cluster","cluster","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.4","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"clusterProfiler","clusterProfiler","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.6.2",NA,"R (>= 3.5.0)","AnnotationDbi, downloader, DOSE (>= 3.23.2), dplyr, enrichplot
(>= 1.9.3), GO.db, GOSemSim, gson (>= 0.0.7), magrittr,
methods, plyr, qvalue, rlang, stats, tidyr, utils, yulab.utils",NA,"AnnotationHub, knitr, rmarkdown, org.Hs.eg.db, prettydoc,
ReactomePA, testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"coda","coda","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.19-4",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"codetools","codetools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2-19","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"colorspace","colorspace","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1-0",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"combinat","combinat","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.0-8",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.2.0"
"commonmark","commonmark","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.9.0",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"compGenomRData","compGenomRData","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.0",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"compiler","compiler","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,NA,NA,NA,NA,"Part of R 4.2.1",NA,NA,NA,NA,NA,"4.2.1"
"ComplexHeatmap","ComplexHeatmap","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.14.0",NA,"R (>= 3.5.0), methods, grid, graphics, stats, grDevices","circlize (>= 0.4.14), GetoptLong, colorspace, clue,
RColorBrewer, GlobalOptions (>= 0.1.0), png, digest, IRanges,
matrixStats, foreach, doParallel, codetools",NA,"testthat (>= 1.0.0), knitr, markdown, dendsort, jpeg, tiff,
fastcluster, EnrichedHeatmap, dendextend (>= 1.0.1), grImport,
grImport2, glue, GenomicRanges, gridtext, pheatmap (>= 1.0.12),
gridGraphics, gplots, rmarkdown, Cairo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"confintr","confintr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.2",NA,"R (>= 3.1.0)","boot, stats",NA,"knitr, rmarkdown, testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"conflicted","conflicted","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.0",NA,"R (>= 3.2)","cli (>= 3.4.0), memoise, rlang (>= 1.0.0)",NA,"callr, covr, dplyr, Matrix, methods, pkgload, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"corpcor","corpcor","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6.10",NA,"R (>= 3.0.2)","stats",NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"corrplot","corrplot","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.92",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"cowplot","cowplot","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.1",NA,"R (>= 3.5.0)","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.1"
"cpp11","cpp11","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.6",NA,"R (>= 3.5.0)",NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"crayon","crayon","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5.2",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"credentials","credentials","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.1",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"crossmatch","crossmatch","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3-1",NA,"survival,nbpMatching",NA,NA,"MASS",NA,"GPL-2",NA,NA,NA,NA,NA,"4.2.1"
"crosstalk","crosstalk","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.0",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"crul","crul","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.0",NA,NA,"curl (>= 3.3), R6 (>= 2.2.0), urltools (>= 1.6.0), httpcode
(>= 0.2.0), jsonlite, mime",NA,"testthat, roxygen2 (>= 7.1.1), fauxpas (>= 0.1.0), webmockr
(>= 0.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"curl","curl","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","5.0.2",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"DALEX","DALEX","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.4.3",NA,"R (>= 3.5)","ggplot2, iBreakDown (>= 1.3.1), ingredients (>= 2.0)",NA,"gower, ranger, testthat, methods",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"data.table","data.table","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.14.8",NA,"R (>= 3.1.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"data.tree","data.tree","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.0",NA,"R (>= 3.5)","R6, stringi, methods",NA,"Formula, graphics, testthat, knitr, rmarkdown, ape, yaml,
networkD3, jsonlite, treemap, party, partykit, doParallel,
foreach, htmlwidgets, DiagrammeR (>= 1.0.0), mockery, rpart","igraph","GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"datapasta","datapasta","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.1.0",NA,"R (>= 3.3.0)","readr (>= 1.2.0), clipr (>= 0.3.0), rstudioapi (>= 0.6),
methods",NA,"tibble (>= 1.2), testthat, knitr, rmarkdown, utils, covr,
data.table",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"datasets","datasets","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,NA,NA,NA,NA,"Part of R 4.2.1",NA,NA,NA,NA,NA,"4.2.1"
"DBI","DBI","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.3",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, DBItest, dbplyr, downlit, dplyr, glue, hms,
knitr, magrittr, RMariaDB, rmarkdown, rprojroot, RSQLite (>=
1.1-2), testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"dbplyr","dbplyr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.3.3",NA,"R (>= 3.1)","blob (>= 1.2.0), cli (>= 3.4.1), DBI (>= 1.0.0), dplyr (>=
1.1.0), glue (>= 1.2.0), lifecycle (>= 1.0.3), magrittr,
methods, pillar (>= 1.5.0), purrr (>= 1.0.1), R6 (>= 2.2.2),
rlang (>= 1.0.6), tibble (>= 1.4.2), tidyr (>= 1.3.0),
tidyselect (>= 1.2.0), utils, vctrs (>= 0.5.0), withr",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.0.2), rmarkdown, RPostgres (>= 1.1.3), RPostgreSQL, RSQLite
(>= 2.2.15), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"dbscan","dbscan","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-11",NA,NA,"Rcpp (>= 1.0.0), graphics, stats","Rcpp","fpc, microbenchmark, testthat, dendextend, igraph, knitr,
rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"DelayedArray","DelayedArray","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.24.0",NA,"R (>= 4.0.0), methods, stats4, Matrix, BiocGenerics (>=
0.43.4), MatrixGenerics (>= 1.1.3), S4Vectors (>= 0.27.2),
IRanges (>= 2.17.3)","stats","S4Vectors","BiocParallel, HDF5Array (>= 1.17.12), genefilter,
SummarizedExperiment, airway, lobstr, DelayedMatrixStats,
knitr, rmarkdown, BiocStyle, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"DelayedMatrixStats","DelayedMatrixStats","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.20.0",NA,"MatrixGenerics (>= 1.5.3), DelayedArray (>= 0.17.6)","methods, matrixStats (>= 0.60.0), sparseMatrixStats, Matrix
(>= 1.5-0), S4Vectors (>= 0.17.5), IRanges (>= 2.25.10)",NA,"testthat, knitr, rmarkdown, covr, BiocStyle, microbenchmark,
profmem, HDF5Array",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"deldir","deldir","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0-9",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"dendextend","dendextend","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.17.1",NA,"R (>= 3.0.0)","utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, viridis",NA,"knitr, rmarkdown, testthat, seriation, colorspace, ape,
microbenchmark, gplots, heatmaply, dynamicTreeCut, pvclust,
corrplot, DendSer, MASS, cluster, fpc, circlize (>= 0.2.5),
covr","ggdendro, dendroextras, Hmisc, data.table, rpart, WGCNA,
moduleColor, distory, phangorn, zoo","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"DEoptimR","DEoptimR","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-2",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"desc","desc","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.2",NA,"R (>= 3.4)","cli, R6, rprojroot, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"desiR","desiR","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.2",NA,"R (>= 2.10)",NA,NA,"knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"devtools","devtools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.4.5",NA,"R (>= 3.0.2), usethis (>= 2.1.6)","cli (>= 3.3.0), desc (>= 1.4.1), ellipsis (>= 0.3.2), fs (>=
1.5.2), lifecycle (>= 1.0.1), memoise (>= 2.0.1), miniUI (>=
0.1.1.1), pkgbuild (>= 1.3.1), pkgdown (>= 2.0.6), pkgload (>=
1.3.0), profvis (>= 0.3.7), rcmdcheck (>= 1.4.0), remotes (>=
2.4.2), rlang (>= 1.0.4), roxygen2 (>= 7.2.1), rversions (>=
2.1.1), sessioninfo (>= 1.2.2), stats, testthat (>= 3.1.5),
tools, urlchecker (>= 1.0.1), utils, withr (>= 2.5.0)",NA,"BiocManager (>= 1.30.18), callr (>= 3.7.1), covr (>= 3.5.1),
curl (>= 4.3.2), digest (>= 0.6.29), DT (>= 0.23), foghorn (>=
1.4.2), gh (>= 1.3.0), gmailr (>= 1.0.1), httr (>= 1.4.3),
knitr (>= 1.39), lintr (>= 3.0.0), MASS, mockery (>= 0.4.3),
pingr (>= 2.0.1), rhub (>= 1.1.1), rmarkdown (>= 2.14),
rstudioapi (>= 0.13), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"diagram","diagram","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6.5",NA,"R (>= 2.01), shape","stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"dichromat","dichromat","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0-0.1",NA,"R (>= 2.10), stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"diffobj","diffobj","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.5",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"digest","digest","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.6.33",NA,"R (>= 3.3.0)","utils",NA,"tinytest, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"diptest","diptest","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.76-0",NA,NA,"graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"dir.expiry","dir.expiry","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6.0",NA,NA,"utils, filelock",NA,"rmarkdown, knitr, testthat, BiocStyle",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"dittoSeq","dittoSeq","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.10.0",NA,"ggplot2","methods, colorspace (>= 1.4), gridExtra, cowplot, reshape2,
pheatmap, grDevices, ggrepel, ggridges, stats, utils,
SummarizedExperiment, SingleCellExperiment, S4Vectors",NA,"plotly, testthat, Seurat (>= 2.2), DESeq2, edgeR,
ggplot.multistats, knitr, rmarkdown, BiocStyle, scRNAseq,
ggrastr (>= 0.2.0), ComplexHeatmap, bluster, scater, scran",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"DO.db","DO.db","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.9",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.9.7)","methods, AnnotationDbi",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"doMC","doMC","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.8",NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel","utils",NA,NA,"compiler, RUnit","GPL-2",NA,NA,"unix",NA,"no","4.2.0"
"doParallel","doParallel","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.17",NA,"R (>= 2.14.0), foreach (>= 1.2.0), iterators (>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.2.0"
"doRNG","doRNG","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.8.6",NA,"R (>= 3.0.0), foreach, rngtools (>= 1.5)","stats, utils, iterators",NA,"doParallel, doMPI, doRedis, rbenchmark, devtools, knitr,
rbibutils (>= 1.3), testthat, pkgmaker (>= 0.32.7), covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"DOSE","DOSE","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.24.2",NA,"R (>= 3.5.0)","AnnotationDbi, HDO.db, BiocParallel, fgsea, ggplot2, GOSemSim
(>= 2.23.1), methods, qvalue, reshape2, stats, utils",NA,"prettydoc, clusterProfiler, gson (>= 0.0.5), knitr,
rmarkdown, org.Hs.eg.db, testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"downlit","downlit","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.3",NA,"R (>= 3.4.0)","brio, desc, digest, evaluate, fansi, memoise, rlang, vctrs,
withr, yaml",NA,"covr, htmltools, jsonlite, MASS, MassSpecWavelet, pkgload,
rmarkdown, testthat (>= 3.0.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"downloader","downloader","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4",NA,NA,"utils, digest",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"dplyr","dplyr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.3",NA,"R (>= 3.5.0)","cli (>= 3.4.0), generics, glue (>= 1.3.2), lifecycle (>=
1.0.3), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6,
rlang (>= 1.1.0), tibble (>= 3.2.0), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.6.0)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 2.2.1), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, stringi (>= 1.7.6),
testthat (>= 3.1.5), tidyr (>= 1.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"dqrng","dqrng","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.1",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.16)","Rcpp, BH (>= 1.64.0-1), sitmo (>= 2.0.0)","testthat, knitr, rmarkdown, mvtnorm (>= 1.2-3), bench, sitmo",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"DT","DT","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.29",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), httpuv, jsonlite
(>= 0.9.16), magrittr, crosstalk, jquerylib, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, future,
testit, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"dtangle","dtangle","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.9",NA,"R(>= 3.5.0)","DEoptimR,",NA,"knitr, rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"dtplyr","dtplyr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.1",NA,"R (>= 3.3)","cli (>= 3.4.0), data.table (>= 1.13.0), dplyr (>= 1.1.0),
glue, lifecycle, rlang (>= 1.0.4), tibble, tidyselect (>=
1.2.0), vctrs (>= 0.4.1)",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.1.2), tidyr (>=
1.1.0), waldo (>= 0.3.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"dynamicTreeCut","dynamicTreeCut","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.63-1",NA,"R (>= 2.3.0), stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"dynparam","dynparam","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.2",NA,"R (>= 3.0.0)","assertthat, carrier, dplyr, dynutils (>= 1.0.2), magrittr,
purrr, stringr, tibble, tidyr",NA,"lhs, ParamHelpers, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"dynutils","dynutils","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.11",NA,"R (>= 3.0.0)","assertthat, crayon, desc, dplyr, magrittr, Matrix, methods,
proxyC (>= 0.3.3), purrr, Rcpp, remotes, stringr, tibble","Rcpp","covr, ggplot2, hdf5r (>= 1.3.4), knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"dynwrap","dynwrap","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.4",NA,"R (>= 3.0.0)","assertthat, babelwhale, crayon, dplyr, dynutils (>= 1.0.3),
dynparam, igraph, glue, magrittr, Matrix, methods, purrr,
processx, readr, stringr, reshape2, tibble, tidyr, yaml",NA,"covr, dyndimred, hdf5r, knitr, pkgload, ranger, rmarkdown,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"e1071","e1071","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.7-13",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"echoconda","echoconda","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.99.9",NA,"R (>= 4.1)","utils, methods, R.utils, data.table, dplyr, yaml, stringr,
reticulate (>= 1.24), basilisk, basilisk.utils, echodata",NA,"markdown, rmarkdown, magick, remotes, knitr, BiocStyle, covr,
testthat (>= 3.0.0), badger, hexSticker, parallel, readr,
tidyr, giftwrap, microbenchmark, genetics.binaRies",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.1"
"echodata","echodata","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.99.16",NA,"R (>= 4.1)","dplyr, data.table, R.utils, methods, utils, tools, tidyr,
parallel, openxlsx, DT, readr, piggyback, MungeSumstats (>=
1.3.14)",NA,"markdown, rmarkdown, remotes, knitr, BiocStyle, covr,
testthat (>= 3.0.0), htmltools, badger, BSgenome,
GenomicRanges, GenomeInfoDb, SNPlocs.Hsapiens.dbSNP144.GRCh37,
SNPlocs.Hsapiens.dbSNP144.GRCh38, biomaRt, arrow, ggplot2,
echogithub, orthogene",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"edgeR","edgeR","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.40.2",NA,"R (>= 3.6.0), limma (>= 3.41.5)","methods, graphics, stats, utils, locfit, Rcpp","Rcpp","jsonlite, readr, rhdf5, splines, Biobase, AnnotationDbi,
SummarizedExperiment, org.Hs.eg.db",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.2.2"
"egg","egg","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.5",NA,"gridExtra (>= 2.3), ggplot2","gtable, grid, grDevices, utils",NA,"knitr, png",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"ellipse","ellipse","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5.0",NA,"R (>= 2.0.0),graphics,stats",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"ellipsis","ellipsis","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"emmeans","emmeans","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.8.8",NA,"R (>= 4.1.0)","estimability (>= 1.4.1), graphics, methods, numDeriv, stats,
utils, mvtnorm",NA,"bayesplot, bayestestR, biglm, brms, car, coda (>= 0.17),
ggplot2, lattice, logspline, mediation, mgcv, multcomp,
multcompView, nlme, ordinal (>= 2014.11-12), pbkrtest (>=
0.4-1), lme4, lmerTest (>= 2.0.32), MASS, MuMIn, rsm, knitr,
rmarkdown, sandwich, scales, splines, testthat, xtable (>=
1.8-2)","CARBayes, coxme, gee, geepack, MCMCglmm, MCMCpack, mice,
nnet, pscl, rstanarm, sommer, survival","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"EnrichmentBrowser","EnrichmentBrowser","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.28.2",NA,"SummarizedExperiment, graph","AnnotationDbi, BiocFileCache, BiocManager, GSEABase, GO.db,
KEGGREST, KEGGgraph, Rgraphviz, S4Vectors, SPIA, edgeR,
graphite, hwriter, limma, methods, pathview, safe",NA,"ALL, BiocStyle, ComplexHeatmap, DESeq2, ReportingTools,
airway, biocGraph, hgu95av2.db, geneplotter, knitr, msigdbr,
rmarkdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.3"
"enrichplot","enrichplot","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.18.4",NA,"R (>= 3.5.0)","aplot (>= 0.1.4), DOSE (>= 3.16.0), ggnewscale, ggplot2,
ggraph, graphics, grid, igraph, methods, plyr, purrr,
RColorBrewer, reshape2, rlang, stats, utils, scatterpie,
shadowtext, GOSemSim, magrittr, ggtree, yulab.utils (>= 0.0.4)",NA,"clusterProfiler, dplyr, europepmc, ggupset, knitr, rmarkdown,
org.Hs.eg.db, prettydoc, tibble, tidyr, ggforce, AnnotationDbi,
ggplotify, ggridges, grDevices, gridExtra, ggrepel (>= 0.9.0),
ggstar, treeio, scales, tidytree, ggtreeExtra, tidydr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.3"
"EnsDb.Hsapiens.v79","EnsDb.Hsapiens.v79","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.99.0",NA,"ensembldb",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
